country_or_area;year;comm_code;commodity;flow;trade_usd;weight_kg;quantity_name;quantity;category
Albania;2005;010600;Animals, live, except farm animals;Re-Export;81661;120;Number of items;2;01_live_animals
Albania;2004;010111;Horses, live pure-bred breeding;Import;4089;3366;Number of items;1202;01_live_animals
Albania;2004;010119;Horses, live except pure-bred breeding;Import;1142;520;Number of items;4;01_live_animals
Albania;2004;010210;Bovine animals, live pure-bred breeding;Import;1368451;706591;Number of items;1717;01_live_animals
Albania;2004;010290;Bovine animals, live, except pure-bred breeding;Import;2142425;1521541;Number of items;38843;01_live_animals
Albania;2004;010391;Swine, live except pure-bred breeding < 50 kg;Import;108210;119520;Number of items;2447;01_live_animals
Albania;2004;010392;Swine, live except pure-bred breeding > 50 kg;Import;407522;556714;Number of items;7084;01_live_animals
Albania;2004;010410;Sheep, live;Import;2600;1410;Number of items;35;01_live_animals
Albania;2004;010420;Goats, live;Import;5376;4800;Number of items;160;01_live_animals
Albania;2004;010511;Fowls, live domestic < 185 grams;Import;759378;110147;Number of items;2466766;01_live_animals
Albania;2004;010519;Poultry, live except domestic fowls, < 185 grams;Import;21363;2339;Number of items;15942;01_live_animals
Albania;2004;010591;Fowls, live domestic > 185 grams;Import;183187;272140;Number of items;183034;01_live_animals
Albania;2004;010599;Poultry, live except domestic fowls, > 185 grams;Import;591;410;Number of items;280;01_live_animals
Albania;2004;010600;Animals, live, except farm animals;Import;2163;715;Number of items;250;01_live_animals
Albania;2004;010600;Animals, live, except farm animals;Export;769695;107579;Number of items;80306;01_live_animals
Albania;2003;010111;Horses, live pure-bred breeding;Import;1851;116;Number of items;139;01_live_animals
Albania;2003;010111;Horses, live pure-bred breeding;Export;3346;125;Number of items;1;01_live_animals
Albania;2003;010210;Bovine animals, live pure-bred breeding;Import;1296679;467655;Number of items;22276;01_live_animals
Albania;2003;010290;Bovine animals, live, except pure-bred breeding;Import;1494653;729440;Number of items;39987;01_live_animals
Albania;2003;010310;Swine, live pure-bred breeding;Import;28293;3920;Number of items;180;01_live_animals
Albania;2003;010391;Swine, live except pure-bred breeding < 50 kg;Import;38902;18881;Number of items;1156;01_live_animals
Albania;2003;010392;Swine, live except pure-bred breeding > 50 kg;Import;26605;21093;Number of items;2182;01_live_animals
Albania;2003;010410;Sheep, live;Import;4095;1909;Number of items;81;01_live_animals
Albania;2003;010511;Fowls, live domestic < 185 grams;Import;849188;16714;Number of items;2666020;01_live_animals
Albania;2003;010519;Poultry, live except domestic fowls, < 185 grams;Import;14218;468;Number of items;22100;01_live_animals
Albania;2003;010591;Fowls, live domestic > 185 grams;Import;171041;33325;Number of items;170486;01_live_animals
Albania;2003;010599;Poultry, live except domestic fowls, > 185 grams;Import;2243;;Number of items;1750;01_live_animals
Albania;2003;010600;Animals, live, except farm animals;Import;75009;1792;Number of items;300515;01_live_animals
Albania;2003;010600;Animals, live, except farm animals;Export;31957;1209;Number of items;7670;01_live_animals
Albania;2002;010210;Bovine animals, live pure-bred breeding;Import;1006256;433340;Number of items;5461;01_live_animals
Albania;2002;010290;Bovine animals, live, except pure-bred breeding;Import;185395;97502;Number of items;12651;01_live_animals
Albania;2002;010290;Bovine animals, live, except pure-bred breeding;Export;2358;1537;Number of items;6573;01_live_animals
Albania;2002;010391;Swine, live except pure-bred breeding < 50 kg;Import;5503;2770;Number of items;100;01_live_animals
Albania;2002;010392;Swine, live except pure-bred breeding > 50 kg;Import;188280;162747;Number of items;13463;01_live_animals
Albania;2002;010410;Sheep, live;Import;4555;2258;Number of items;86;01_live_animals
Albania;2002;010420;Goats, live;Import;21696;8785;Number of items;200;01_live_animals
Albania;2002;010511;Fowls, live domestic < 185 grams;Import;519952;11488;Number of items;1699224;01_live_animals
Albania;2002;010591;Fowls, live domestic > 185 grams;Import;1020836;;Number of items;1120301;01_live_animals
Albania;2002;010591;Fowls, live domestic > 185 grams;Export;2072;1294;Number of items;5500;01_live_animals
Albania;2002;010599;Poultry, live except domestic fowls, > 185 grams;Import;3057;;Number of items;1700;01_live_animals
Albania;2002;010600;Animals, live, except farm animals;Import;156706;4178;Number of items;37205;01_live_animals
Albania;2002;010600;Animals, live, except farm animals;Export;334524;12745;Number of items;47401;01_live_animals
Albania;2001;010111;Horses, live pure-bred breeding;Import;108;7;Number of items;2;01_live_animals
Albania;2001;010210;Bovine animals, live pure-bred breeding;Import;54215;26794;Number of items;287;01_live_animals
Albania;2001;010210;Bovine animals, live pure-bred breeding;Export;17520;;Number of items;27;01_live_animals
Albania;2001;010310;Swine, live pure-bred breeding;Import;847;161;Number of items;3;01_live_animals
Albania;2001;010410;Sheep, live;Export;9398;5659;Number of items;130;01_live_animals
Albania;2001;010420;Goats, live;Import;13913;5485;Number of items;60;01_live_animals
Albania;2001;010511;Fowls, live domestic < 185 grams;Import;432257;9732;Number of items;1269703;01_live_animals
Albania;2001;010511;Fowls, live domestic < 185 grams;Export;2918;67;Number of items;6720;01_live_animals
Albania;2001;010519;Poultry, live except domestic fowls, < 185 grams;Import;1780;68;Number of items;900;01_live_animals
Albania;2001;010591;Fowls, live domestic > 185 grams;Import;1001581;;Number of items;1313550;01_live_animals
Albania;2001;010591;Fowls, live domestic > 185 grams;Export;6347;4265;Number of items;15365;01_live_animals
Albania;2001;010600;Animals, live, except farm animals;Import;224565;6610;Number of items;66606;01_live_animals
Albania;2001;010600;Animals, live, except farm animals;Export;120326;4658;Number of items;31036;01_live_animals
Albania;2000;010111;Horses, live pure-bred breeding;Import;970;67;Number of items;4;01_live_animals
Albania;2000;010119;Horses, live except pure-bred breeding;Import;707;102;Number of items;3;01_live_animals
Albania;2000;010210;Bovine animals, live pure-bred breeding;Import;106860;51518;Number of items;270;01_live_animals
Albania;2000;010290;Bovine animals, live, except pure-bred breeding;Import;66219;41099;Number of items;840;01_live_animals
Albania;2000;010392;Swine, live except pure-bred breeding > 50 kg;Import;2805;2522;Number of items;20;01_live_animals
Albania;2000;010511;Fowls, live domestic < 185 grams;Import;345324;7680;Number of items;1039812;01_live_animals
Albania;2000;010511;Fowls, live domestic < 185 grams;Export;175;4;Number of items;300;01_live_animals
Albania;2000;010591;Fowls, live domestic > 185 grams;Import;696108;393941;Number of items;960219;01_live_animals
Albania;2000;010591;Fowls, live domestic > 185 grams;Export;311;202;Number of items;720;01_live_animals
Albania;2000;010600;Animals, live, except farm animals;Import;677;15;Number of items;6;01_live_animals
Albania;2000;010600;Animals, live, except farm animals;Export;30708;1201;Number of items;39140;01_live_animals
Albania;1999;010111;Horses, live pure-bred breeding;Import;3340;0;Number of items;608;01_live_animals
Albania;1999;010210;Bovine animals, live pure-bred breeding;Import;167982;0;Number of items;184;01_live_animals
Albania;1999;010391;Swine, live except pure-bred breeding < 50 kg;Import;128;0;Number of items;12;01_live_animals
Albania;1999;010392;Swine, live except pure-bred breeding > 50 kg;Import;2674;0;Number of items;40;01_live_animals
Albania;1999;010410;Sheep, live;Import;53587;0;Number of items;155;01_live_animals
Albania;1999;010420;Goats, live;Import;13006;0;Number of items;45;01_live_animals
Albania;1999;010511;Fowls, live domestic < 185 grams;Import;379475;0;Number of items;804723;01_live_animals
Albania;1999;010519;Poultry, live except domestic fowls, < 185 grams;Import;52169;0;Number of items;24040;01_live_animals
Albania;1999;010591;Fowls, live domestic > 185 grams;Import;570110;0;Number of items;1098920;01_live_animals
Albania;1999;010599;Poultry, live except domestic fowls, > 185 grams;Import;51206;0;Number of items;22640;01_live_animals
Albania;1999;010600;Animals, live, except farm animals;Export;13924;0;Number of items;10000;01_live_animals
Albania;1998;010111;Horses, live pure-bred breeding;Import;19723;0;Number of items;46720;01_live_animals
Albania;1998;010120;Asses, mules and hinnies, live;Export;2708;0;Number of items;95;01_live_animals
Albania;1998;010210;Bovine animals, live pure-bred breeding;Import;43505;0;Number of items;67;01_live_animals
Albania;1998;010290;Bovine animals, live, except pure-bred breeding;Import;8841;0;Number of items;625;01_live_animals
Albania;1998;010310;Swine, live pure-bred breeding;Import;3400;0;Number of items;360;01_live_animals
Albania;1998;010391;Swine, live except pure-bred breeding < 50 kg;Import;6812;0;Number of items;245;01_live_animals
Albania;1998;010392;Swine, live except pure-bred breeding > 50 kg;Import;29853;0;Number of items;6188;01_live_animals
Albania;1998;010410;Sheep, live;Import;3124;0;Number of items;20;01_live_animals
